Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970
ALB,3,Albania,2918,Vegetables,5142,Food,1000 tonnes,41.15,20.17,120,123,148,157,153,106,105,104,120,171
ALB,3,Albania,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,41.15,20.17,95,86,56,75,73,96,82,94,97,95
ALB,3,Albania,2922,Stimulants,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2923,Spices,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2924,Alcoholic Beverages,5142,Food,1000 tonnes,41.15,20.17,13,14,13,14,13,12,14,17,20,19
ALB,3,Albania,2943,Meat,5142,Food,1000 tonnes,41.15,20.17,25,26,25,24,25,27,33,30,31,31
ALB,3,Albania,2945,Offals,5142,Food,1000 tonnes,41.15,20.17,5,5,5,5,5,5,6,5,5,5
ALB,3,Albania,2946,Animal fats,5142,Food,1000 tonnes,41.15,20.17,8,8,7,7,9,10,9,10,10,12
ALB,3,Albania,2949,Eggs,5142,Food,1000 tonnes,41.15,20.17,3,3,3,3,3,3,3,3,3,3
ALB,3,Albania,2948,Milk - Excluding Butter,5521,Feed,1000 tonnes,41.15,20.17,3,3,4,4,4,4,4,4,4,4
ALB,3,Albania,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,41.15,20.17,163,166,171,177,182,188,195,195,201,213
ALB,3,Albania,2960,"Fish, Seafood",5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2960,"Fish, Seafood",5142,Food,1000 tonnes,41.15,20.17,3,3,3,3,4,4,5,6,7,8
ALB,3,Albania,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
